agency,locus,frame,stringency,demkt_intensity,demkt_sacrifice,precarity,collectivism,growth_endorse,community,symbolic,PA,CE,RIA,RSV,AD,PR,CS,SCB,BSE,SPS,CDC,VS,FRUG,MAT,CR,country,PA1,PA2,PA3,PA4,CE1,CE2,CE3,RIA1,RIA2,RIA3,RIA4,RSV1,RSV2,RSV3,AD1,AD2,AD3,AD4,PR1,PR2,PR3,PR4,CS1,CS2,CS3,CS4,SCB1,SCB2,SCB3,BSE1,BSE2,BSE3,BSE4,SPS1,SPS2,SPS3,CDC1,CDC2,CDC3,VS1,VS2,VS3,FRUG1,FRUG2,FRUG3,MAT1,MAT2,MAT3,CR1,CR2,CR3,PA_c,CE_c,RIA_c,RSV_c,AD_c,PR_c,CS_c,SCB_c,BSE_c,SPS_c,CDC_c,VS_c,FRUG_c,MAT_c,CR_c
0,1,1,0.8811545710526438,0.15,0.85,-0.7116156751180005,0.7489749516595825,0.9325336086168057,0.1896131987760084,-1.0,0.35228539879528004,1.4952056545443169,1.7392668666837832,-0.22888114644945629,-0.25722807931165015,0.2574341518791351,0.2931925363796298,0.34782905243629,0.2930275173723499,0.4521784617439057,-0.40779264970433876,-0.49544506941888405,0.20993750287301,0.14262770737337738,-1.0515380750895122,DE,4.0,4.0,4.0,4.0,6.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,4.0,3.0,4.0,5.0,4.0,3.0,5.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,5.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,5.0,5.0,5.0,4.0,3.0,4.0,3.0,3.0,3.0,0.0,1.0146380828495756,-0.25245101711030815,-1.003798788453469,-0.5105289587856999,0.2589485109027948,-0.5107430666460145,-0.6594946996080803,-0.26216980651166616,-0.34192277310570757,-0.3346030165726239,-0.6788576473493192,1.0096479092013337,-0.33159600693334657,-1.005870411889434
0,0,1,0.7238071155756015,0.15,0.15,-0.7773652001003861,-0.42277718858563446,0.38332422234706354,-1.533289710693481,1.0,0.07240997556105924,0.714309130970721,2.9630518294193555,1.7036091946971457,0.37760830670657974,-0.6161682130619595,2.831614056371187,-0.5166518941926116,1.7939907898054932,1.1616843003594624,0.3521821261903424,0.20423985743159845,1.3650223383206508,0.4273742809514961,-0.8661548254224488,DE,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,6.0,7.0,6.0,6.0,4.0,2.0,3.0,4.0,5.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,2.0,3.0,3.0,-0.5118406301486104,0.003790677769052107,1.0090156517731812,0.6800742053875366,-0.25430363442650294,-1.557096149154373,2.271391867730295,-0.9902757401638573,1.0285123178534596,0.33057438358652524,0.006393688214763604,-0.6788576473493192,1.0096479092013337,0.336187015210585,-1.3415801864040555
1,1,0,0.20823725525041975,0.85,0.85,-0.33804921024878787,-0.5346534834854477,-0.9920794276142847,0.7103783725615809,-1.0,2.0241224738756833,0.28536455259852944,2.4437059817650013,1.676059262104129,-1.6463590316504169,-0.7745897631080326,0.8989520486191601,0.547324510068625,3.2631045220541246,0.528881548729409,0.4826984330795514,1.9243996160632721,1.0175540096171067,-0.5012254019756538,0.535460851736589,DE,5.0,5.0,5.0,6.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,6.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,7.0,7.0,7.0,7.0,6.0,5.0,4.0,4.0,4.0,4.0,6.0,7.0,5.0,5.0,5.0,6.0,4.0,4.0,4.0,4.0,4.0,6.0,1.2796015753715257,0.340739812795893,0.7567223179964833,0.6800742053875366,-1.2792049318632908,-0.2599213919706817,-0.004900351304867399,0.33284842205925014,3.093603716837661,1.0030715402787587,0.006393688214763604,2.0289572127539177,1.347959250504398,0.002295504138619457,0.672678460683673
1,1,1,0.6119217234309777,0.15,0.85,0.9452550626571755,1.1071031369708446,0.46610099377673075,0.17720680721750076,1.0,-0.15010887728654154,0.8944840813708506,3.031497954499944,1.549822520002464,0.9474741344348393,-0.5154890489134072,2.7399903223451227,0.3344664970452531,1.0642546686603858,-0.2953313104248385,1.4209955987237042,1.4674658048130083,1.9514671603220455,-0.30567485230759306,-0.14219446598833657,DE,3.0,4.0,3.0,5.0,4.0,5.0,4.0,6.0,5.0,6.0,6.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,7.0,6.0,6.0,6.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,6.0,6.0,5.0,4.0,4.0,5.0,6.0,6.0,5.0,4.0,4.0,4.0,5.0,5.0,3.0,-0.2559203150743052,0.340739812795893,1.7658956531032746,0.6800742053875366,0.514372338651088,-0.2599213919706817,2.271391867730295,0.33284842205925014,1.0285123178534596,-0.34192277310570757,1.7113772121517008,0.33657292518939413,1.6862705918074634,0.002295504138619457,0.33696868616905107
1,0,1,0.3774136182562428,0.5,0.15,-0.15691885209638742,-0.45828098184512467,0.5403877287720418,0.32021089381231066,1.0,1.7990316248024627,0.5265955805804938,2.8736186367333754,1.0792459460523243,-0.4298065045406495,-0.6609054249436187,2.3002819536565258,2.6098528640267933,0.88604220105597,2.303770040035242,-0.04464475587398775,1.376619002552784,0.19875708129290287,-1.6361147351591665,0.9621503184317637,DE,5.0,5.0,5.0,4.0,5.0,4.0,3.0,4.0,5.0,6.0,6.0,3.0,5.0,4.0,3.0,4.0,5.0,3.0,4.0,2.0,4.0,4.0,6.0,5.0,4.0,7.0,6.0,7.0,5.0,5.0,4.0,4.0,5.0,6.0,6.0,6.0,3.0,3.0,5.0,5.0,6.0,4.0,4.0,5.0,5.0,3.0,2.0,3.0,6.0,5.0,6.0,0.7677609452229155,0.003790677769052107,1.261308985549879,0.006525007851134241,-0.25430363442650294,-0.51935634340742,1.5126277947185742,1.9867536248381352,0.5122394681074093,2.011817275317108,-0.3346030165726239,1.0135266402152037,0.6713365678982695,-1.3332705401492442,1.679807784227537
0,0,0,0.9484428163224295,0.85,0.5,-1.6123684406244663,-1.6630891846102767,0.4923984549393935,0.2754274166605246,-1.0,0.42122142238356497,0.41611186786276116,2.848012200432241,0.6043695939043138,0.19802604364281184,-1.1675981820408514,1.1342409215206968,1.1520995472435793,0.8693833409757096,0.6538815389819608,-0.7112364604253443,-0.5516693765274575,-0.596298249098991,0.25896905511946666,1.4597248160151548,DE,4.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,4.0,5.0,5.0,5.0,3.0,6.0,5.0,4.0,5.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,6.0,6.0,5.0,6.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,5.0,6.0,-0.2559203150743052,-0.6701075922846301,1.0090156517731812,0.6800742053875366,0.258147014291891,-1.0382262462808964,1.006785079377427,1.3251915437265809,-0.0040333816386410185,-0.0056741947595909305,-0.3346030165726239,-0.6788576473493192,-0.6819087973139892,0.6700785262825515,1.679807784227537
0,0,1,0.7725515214513281,0.5,0.5,-1.3557864367712305,1.6159064895080981,-0.09410197564023892,-0.5084536354545164,-1.0,-0.26213213934676693,-0.13576374456033274,2.3434171034206845,0.14106597692370515,-1.5277510231169509,-1.5234982889923776,1.3975767735479003,-0.25882110837414685,1.9967093821978141,0.24524890220594775,0.2861745511784378,0.856356687942055,1.37950437626063,0.47177139259975165,0.6496210497482737,DE,3.0,3.0,3.0,4.0,4.0,1.0,2.0,6.0,5.0,4.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,5.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,3.0,5.0,3.0,4.0,3.0,5.0,5.0,6.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,-0.7677609452229155,-1.6809549973651536,0.5044289842197854,-0.6670241896852677,-1.0229796075040938,-1.2976611977176349,0.24802100636570618,-0.3287136590523036,1.54478516759951,-0.34192277310570757,0.006393688214763604,1.0135266402152037,0.6713365678982695,0.336187015210585,0.33696868616905107
1,1,0,0.4239783422086912,0.5,0.5,-0.5585003070239049,0.6195527000603716,-0.32952402716738616,-0.26590026218714413,-1.0,2.060824398636755,0.4236963873988956,1.8163004304272587,1.59838931035241,1.2858234174252354,1.2837439973222569,0.34528772808967517,-0.18120479659467778,0.7641602061805146,-0.22749630793743036,-0.5507253026631729,0.06636232507256407,0.8235717803775376,-0.27180066482654663,0.737551438283037,DE,6.0,5.0,6.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,6.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,2.0,3.0,4.0,5.0,4.0,3.0,5.0,3.0,4.0,4.0,3.0,5.0,2.0,4.0,3.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0,3.0,1.535521890445831,-0.3331584572577892,0.25213565044308756,1.0168488041557373,0.258147014291891,0.2589485109027948,-0.004900351304867399,-0.9902757401638573,0.25410304323438415,-0.34192277310570757,-0.675599721360011,-0.34038078983641495,0.3330252265952042,0.002295504138619457,0.33696868616905107
0,0,0,0.7222430314083208,0.15,0.15,1.2632263863520605,-1.659816167231527,1.8880675520308137,-0.6634903218897235,-1.0,-0.32061555407855796,1.0175869948997822,0.9335296606764181,-1.1520362119542886,2.8716327635552243,1.1552823651318143,0.33351367181449737,-1.5496545598354041,1.077328902632659,0.5597180967083716,-0.7414971572804379,-0.5178758139144772,-1.0980233194838152,0.779998702551772,0.2471523012164366,DE,3.0,4.0,4.0,3.0,4.0,5.0,5.0,3.0,3.0,3.0,4.0,3.0,1.0,2.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,5.0,3.0,4.0,5.0,3.0,2.0,1.0,2.0,6.0,4.0,5.0,6.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,7.0,5.0,4.0,5.0,-0.5118406301486104,0.6776889478227347,-0.7570376846637038,-2.0141225847580717,1.5392736360878758,1.5561232680864863,-0.257821708975441,-2.3133999023869647,1.2866487427264848,0.33057438358652524,0.006393688214763604,-0.34038078983641495,-1.020220138617054,1.003970037354517,0.672678460683673
1,0,0,0.17309433781283626,0.85,0.15,1.1839114891116216,-2.7416919471246626,0.7985320609096861,-1.4554772151897688,-1.0,1.108570194521247,-0.4159743397208465,1.6189013066063866,1.3926819098757077,0.5095208324746132,-0.33535588968267416,1.2206584624710082,0.10831359393612644,1.760166724894752,-2.0316609400316636,-0.5615449116611233,-0.08394695479437878,-0.2311456054141538,-0.15646921449500167,0.48774235426009077,DE,5.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,3.0,4.0,4.0,3.0,4.0,4.0,6.0,5.0,1.0,2.0,1.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,5.0,3.0,5.0,5.0,4.0,5.0,0.5118406301486104,-1.0070567273114714,-0.00015768333361029275,0.6800742053875366,0.514372338651088,-1.0382262462808964,0.5009423640362798,-0.3287136590523036,0.7703758929804345,-2.6956628215285234,-1.357593130934786,-0.6788576473493192,-0.6819087973139892,0.336187015210585,0.672678460683673
1,1,1,0.4657034220916573,0.85,0.85,0.14385014334018464,-0.9188789874191361,-0.726852226322171,-0.040284364856925214,-1.0,0.2510358326393165,1.5835904945337722,2.390945172832776,0.38302799949560973,-2.097565477027902,-2.4323528638757637,2.4412680048792526,1.9199522626373327,1.0694517112660944,2.5181734591320644,-2.292700083727868,1.4893145263855176,0.11321652869605947,0.41317712295169673,0.7398744247572511,DE,4.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,6.0,5.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,3.0,4.0,4.0,7.0,6.0,6.0,2.0,3.0,1.0,5.0,6.0,4.0,3.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,6.0,-0.5118406301486104,1.0146380828495756,1.0090156517731812,-1.003798788453469,-1.7916555805816847,-1.557096149154373,1.2597064370480004,1.3251915437265809,-0.0040333816386410185,2.348065853663224,-2.0395865405095606,1.0135266402152037,-0.6819087973139892,0.336187015210585,0.672678460683673
1,0,1,0.8032912840477506,0.5,0.5,-1.4296048712952465,-1.6482584206626243,-0.04341695797726644,-0.3444729468757725,1.0,1.5658295822866413,-1.622014450424583,1.5812434949568317,0.988339785942951,0.33239140055261346,0.09343209178944226,0.90763051744372,0.1370499800767042,-0.45574481902556013,0.975314544301195,-1.4690077098695047,-0.17206581515253633,-1.3487886698947225,1.0353163765770246,-1.0284056771143377,DE,5.0,5.0,6.0,5.0,3.0,2.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,6.0,4.0,4.0,4.0,2.0,2.0,5.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,1.2796015753715257,-1.3440058623383127,-0.25245101711030815,0.34329960661933495,-0.25430363442650294,-0.51935634340742,-0.257821708975441,-0.3287136590523036,-0.5203062313846913,0.6668229619326423,-1.357593130934786,-0.0019039323235101606,-1.020220138617054,1.003970037354517,-1.005870411889434
1,0,1,0.5047369791049751,0.5,0.85,-0.1964495406379672,1.052031284248306,0.6398563891991942,0.9316848861134008,-1.0,-0.1463066439801649,0.51711230524332,2.390289904239545,-0.3404697040761226,-0.29169979783901406,0.34886824916322495,-0.5333992217277038,-0.4626314269194831,0.623237844011729,0.43676337784559865,-1.2810952586105107,-0.45527509359253243,0.47172529492669046,0.2292800217685771,-0.8153684394836336,DE,4.0,2.0,4.0,6.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,5.0,4.0,2.0,4.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,4.0,4.0,2.0,3.0,4.0,0.0,-0.3331584572577892,0.5044289842197854,-0.6670241896852677,-1.0229796075040938,-0.2599213919706817,-1.0165857819871618,-0.6594946996080803,-0.0040333816386410185,-0.6781713514518238,-1.357593130934786,-0.0019039323235101606,0.6713365678982695,0.6700785262825515,-1.005870411889434
